LGA,WARD
Oguta,ORU WARD
Oguta,IZOMBE WARD
Ohaji Egbema,OBITTI/MGBUISII WARD
Ohaji Egbema,OBITTI/MGBUISII WARD
Ohaji Egbema,EGBEMA WARD A
Ohaji Egbema,EGBEMA WARD B
Ohaji Egbema,EGBEMA WARD B
Ohaji Egbema,EGBEMA WARD C
Ohaji Egbema,EGBEMA WARD C
Ohaji Egbema,EGBEMA WARD D
Ohaji Egbema,EGBEMA WARD E
Ohaji Egbema,EGBEMA WARD E
Ohaji Egbema,AWARRA/IKWEREDE WARD
Ohaji Egbema,ASSA/OBILE WARD
Ohaji Egbema,EKWUATO WARD
Ohaji Egbema,EKWUATO WARD
Ohaji Egbema,OHOBA WARD
Ohaji Egbema,UMUAGWO WARD
Ohaji Egbema,UMUAGWO WARD
Ohaji Egbema,UMUAGWO WARD
Ohaji Egbema,UMUAPU WARD
Okigwe,RECONSTRUCTION IHUBE-AKU BRIDGE & ROAD GRADING
Okigwe,BOREHOLE DRILLING
Okigwe,RENOVATION OF MARKET/GRADING OF ROADS
Okigwe,UBAHA TOWN HALL
Okigwe,COMMUNITY SECONDARY SCHOOL OKIGWE
Okigwe,EKE-OKIGWE MARKET
Okigwe,SOLAR DRIVEN BOREHOLE
Okigwe,MINI BRIDGE
Okigwe,ORIE OGII MARKET \ROADS
Okigwe,AGBOBU/IZUOGU PRIMARY SCHOOL
Okigwe,SOLAR DRIVEN WATER BOREHOLE
Okigwe,300KVA TRANSFORMER
Okigwe,NDI EKWURU BRIDGE
Onuimo,EZIAMA WARD 1
Onuimo,OWERRE OKWE WARD 2
Onuimo,UMUCHEKE OKWE WARD 3
Onuimo,EZELU WARD 4
Onuimo,OFAHIA WARD 5
Onuimo,ABOH/OKOHIA WARD 6
Onuimo,OZIMO/UMUANUMEZE WARD 7
Onuimo,UMUNA WARD 8
Onuimo,OKWELLE I WARD 9
Onuimo,OKWELLE II WARD 10
Orlu,ORLU/MGBEE Ward
Orlu,OGBERURU WARD
Orlu,OWERRE-EBEIRI WARD
Orlu,AMAIFEKE WARD
Orlu,IHITEOWRRI WARD
Orlu,EZIACHI/AMIKE WARD
Orlu,UMUDIOKA WARD
Orlu,UMUZIKE/UMUOWA WARD
Orlu,OHAEKE OKPORO WARD
Orlu,OHAFOR OKPORO/UMUTANZE WARD
Orlu,OKWUABALA IHIOMA WARD
Orlu,UMUNA WARD
Orlu,UMUNA WARD
Orlu,EBENESE/UMUEZENACHI WARD
Orsu,AMARURU WARD
Orsu,EZIAWA WARD
Orsu,ASSAH-UBIRIELEM WARD
Orsu,IHITENANSA WARD
Orsu,IHITENANSA WARD
Orsu,ORSU-IHITEUKWA WARD
Orsu,OKWUETITI WARD
Orsu,OKWUAMARAIHE WARD 2
Orsu,OKWUAMARAIHE WARD 1
Orsu,OKWUFURUAKU WARD
Orsu,EBENATOR WARD
Orsu,UMUHU-OKABIA WARD
Oru East,OMUMA WARD
Oru East,AKATTA WARD
Oru East,AMIRI WARD II
Oru East,AWO-OMAMMA WARD II
Oru East,AWO-OMAMMA WARD I
Oru East,AMAGU WARD
Oru East,AMIRI WARD I
Oru East,AWO-OMAMMA WARD IV
Oru East,AWO-OMAMMA WARD III
Oru East,AMAKAOHIA WARD
Oru West,AMAOFUO WARD
Oru West,OZARA WARD
Oru West,OHAKPU WARD
Oru West,MGBIDI WARD 2
Oru West,IBIASOEGBE WARD
Oru West,AJI WARD
Oru West,MGBIDI WARD 1
Oru West,OTULU WARD
Oru West,OTULU WARD
Oru West,NEMPI/ELEH WARD
Oru West,UBULU WARD
Owerri Municipal,Construction of Public Toilets/ Borehole
Owerri Municipal,Public Toilet with Borehole and barricade
Owerri Municipal,Drilling of Solar Borehole with Barricade
Owerri Municipal,Drainage desilting and barricade
Owerri Municipal,Construction of Solar Borehole and Barricade
Owerri Municipal,Fabrication and installation of barricade
Owerri Municipal,Installation of Borehole
Owerri Municipal,Solar Borehole and renovation of Security Post
Owerri Municipal,Solar Borehole and Public Toilet
Owerri Municipal,Public Toilet with Borehole.
Owerri Municipal,Installation of Borehole
Owerri North,Emekuku Ward 2
Owerri North,Emekuku Ward 1
Owerri North,Emii Ward
Owerri North,Egbu Ward
Owerri North,Awaka/Ihitta Ward
Owerri North,Amakohia/Akwakuma Ward
Owerri North,Naze Ward
Owerri North,OAU Ward
Owerri North,Orji Ward
Owerri North,Obibiezena Ward
Owerri North,Obibi Ward 1
Owerri North,Obibi Ward 2
Owerri West,NDEGWU CENTER WARD 9
Owerri West,IHIAGWA WARD 6
Owerri West,EZIOBODO/EZIOKELE WARD 5
Owerri West,OKOLOCHI/EMEABIAM WARD 4
Owerri West,OKUKU WARD 3
Owerri West,UMUGUMA WARD 2
Owerri West,AVU/OFOROLA WARD 1
Owerri West,IRETE/OROGWE WARD 10
Owerri West,OBINZE WARD 8
Owerri West,NEKEDE WARD 7
